marque,nom,puissance,longueur,nbPlaces,nbPortes,couleur,occasion,prix,Avg_Bonus_Malus,Avg_Rejets_CO2,Avg_Cout_energie
volvo,S80 T6,272,tr�s longue,5,5,blanc,false,50500,-3631.88,42.45,72.73
volvo,S80 T6,272,tr�s longue,5,5,noir,false,50500,-3631.88,42.45,72.73
volvo,S80 T6,272,tr�s longue,5,5,rouge,false,50500,-3631.88,42.45,72.73
volvo,S80 T6,272,tr�s longue,5,5,gris,true,35350,-3631.88,42.45,72.73
volvo,S80 T6,272,tr�s longue,5,5,bleu,true,35350,-3631.88,42.45,72.73
volvo,S80 T6,272,tr�s longue,5,5,gris,false,50500,-3631.88,42.45,72.73
volvo,S80 T6,272,tr�s longue,5,5,bleu,false,50500,-3631.88,42.45,72.73
volvo,S80 T6,272,tr�s longue,5,5,rouge,true,35350,-3631.88,42.45,72.73
volvo,S80 T6,272,tr�s longue,5,5,blanc,true,35350,-3631.88,42.45,72.73
volvo,S80 T6,272,tr�s longue,5,5,noir,true,35350,-3631.88,42.45,72.73
volkswagen,Touran 2.0 FSI,150,longue,7,5,rouge,false,27340,-6000.0,13.33,149.33
volkswagen,Touran 2.0 FSI,150,longue,7,5,gris,true,19138,-6000.0,13.33,149.33
volkswagen,Touran 2.0 FSI,150,longue,7,5,bleu,true,19138,-6000.0,13.33,149.33
volkswagen,Touran 2.0 FSI,150,longue,7,5,gris,false,27340,-6000.0,13.33,149.33
volkswagen,Touran 2.0 FSI,150,longue,7,5,bleu,false,27340,-6000.0,13.33,149.33
volkswagen,Touran 2.0 FSI,150,longue,7,5,blanc,true,19138,-6000.0,13.33,149.33
volkswagen,Touran 2.0 FSI,150,longue,7,5,noir,true,19138,-6000.0,13.33,149.33
volkswagen,Touran 2.0 FSI,150,longue,7,5,rouge,true,19138,-6000.0,13.33,149.33
volkswagen,Touran 2.0 FSI,150,longue,7,5,blanc,false,27340,-6000.0,13.33,149.33
volkswagen,Touran 2.0 FSI,150,longue,7,5,noir,false,27340,-6000.0,13.33,149.33
volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,true,8540,-6000.0,13.33,149.33
volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,false,12200,-6000.0,13.33,149.33
volkswagen,Polo 1.2 6V,55,courte,5,3,noir,false,12200,-6000.0,13.33,149.33
volkswagen,Polo 1.2 6V,55,courte,5,3,noir,true,8540,-6000.0,13.33,149.33
volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,true,8540,-6000.0,13.33,149.33
volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,false,12200,-6000.0,13.33,149.33
volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,true,8540,-6000.0,13.33,149.33
volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,false,12200,-6000.0,13.33,149.33
volkswagen,Polo 1.2 6V,55,courte,5,3,gris,false,12200,-6000.0,13.33,149.33
volkswagen,Polo 1.2 6V,55,courte,5,3,gris,true,8540,-6000.0,13.33,149.33
volkswagen,New Beatle 1.8,110,moyenne,5,5,blanc,true,18641,-6000.0,13.33,149.33
volkswagen,New Beatle 1.8,110,moyenne,5,5,noir,true,18641,-6000.0,13.33,149.33
volkswagen,New Beatle 1.8,110,moyenne,5,5,rouge,true,18641,-6000.0,13.33,149.33
volkswagen,New Beatle 1.8,110,moyenne,5,5,gris,true,18641,-6000.0,13.33,149.33
